"filename", "language", "Markdown", "Dart", "JSON with Comments", "C++", "JSON", "HTML", "XML", "PowerShell", "YAML", "Swift", "Groovy", "Properties", "TypeScript", "JavaScript", "comment", "blank", "total"
"e:\Projects\icarus\.cursor\rules\code-gen-rules.mdc", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"e:\Projects\icarus\.cursor\rules\use-bun-instead-of-node-vite-npm-pnpm.mdc", "Markdown", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 112
"e:\Projects\icarus\.cursor\skills\frontend-design\SKILL.md", "Markdown", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 43
"e:\Projects\icarus\.zed\debug.json", "JSON", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"e:\Projects\icarus\.zed\tasks.json", "JSON with Comments", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 4, 202
"e:\Projects\icarus\AGENTS.md", "Markdown", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 22
"e:\Projects\icarus\LICENSE.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"e:\Projects\icarus\README.md", "Markdown", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 56
"e:\Projects\icarus\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 22, 4, 32
"e:\Projects\icarus\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 6, 9, 59
"e:\Projects\icarus\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"e:\Projects\icarus\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 11, 1, 46
"e:\Projects\icarus\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"e:\Projects\icarus\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"e:\Projects\icarus\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"e:\Projects\icarus\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"e:\Projects\icarus\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"e:\Projects\icarus\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 3, 19
"e:\Projects\icarus\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"e:\Projects\icarus\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"e:\Projects\icarus\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 5, 26
"e:\Projects\icarus\assets\folder_tile.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\Projects\icarus\assets\fonts\config.json", "JSON", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122
"e:\Projects\icarus\assets\maps\abyss_call_outs.svg", "XML", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 1, 66
"e:\Projects\icarus\assets\maps\abyss_call_outs_defense.svg", "XML", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 1, 66
"e:\Projects\icarus\assets\maps\abyss_map.svg", "XML", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"e:\Projects\icarus\assets\maps\abyss_map_defense.svg", "XML", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"e:\Projects\icarus\assets\maps\abyss_spawn_walls.svg", "XML", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"e:\Projects\icarus\assets\maps\abyss_ult_orbs.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\Projects\icarus\assets\maps\ascent_call_outs.svg", "XML", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 1, 63
"e:\Projects\icarus\assets\maps\ascent_call_outs_defense.svg", "XML", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 1, 63
"e:\Projects\icarus\assets\maps\ascent_map.svg", "XML", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"e:\Projects\icarus\assets\maps\ascent_map_defense.svg", "XML", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"e:\Projects\icarus\assets\maps\ascent_map_spawn_wall.svg", "XML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"e:\Projects\icarus\assets\maps\ascent_spawn_walls.svg", "XML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"e:\Projects\icarus\assets\maps\ascent_ult_orbs.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\Projects\icarus\assets\maps\bind_call_outs.svg", "XML", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"e:\Projects\icarus\assets\maps\bind_call_outs_defense.svg", "XML", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"e:\Projects\icarus\assets\maps\bind_map.svg", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"e:\Projects\icarus\assets\maps\bind_map_defense.svg", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"e:\Projects\icarus\assets\maps\bind_spawn_walls.svg", "XML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"e:\Projects\icarus\assets\maps\bind_ult_orbs.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\Projects\icarus\assets\maps\breeze_call_outs.svg", "XML", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 1, 66
"e:\Projects\icarus\assets\maps\breeze_call_outs_defense.svg", "XML", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 1, 66
"e:\Projects\icarus\assets\maps\breeze_map.svg", "XML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"e:\Projects\icarus\assets\maps\breeze_map_defense.svg", "XML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"e:\Projects\icarus\assets\maps\breeze_spawn_walls.svg", "XML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"e:\Projects\icarus\assets\maps\breeze_ult_orbs.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\Projects\icarus\assets\maps\corrode_call_outs.svg", "XML", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 1, 60
"e:\Projects\icarus\assets\maps\corrode_call_outs_defense.svg", "XML", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 1, 60
"e:\Projects\icarus\assets\maps\corrode_map.svg", "XML", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"e:\Projects\icarus\assets\maps\corrode_map_defense.svg", "XML", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"e:\Projects\icarus\assets\maps\corrode_spawn_walls.svg", "XML", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"e:\Projects\icarus\assets\maps\corrode_ult_orbs.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\Projects\icarus\assets\maps\fracture_call_outs.svg", "XML", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 1, 63
"e:\Projects\icarus\assets\maps\fracture_call_outs_defense.svg", "XML", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 1, 63
"e:\Projects\icarus\assets\maps\fracture_map.svg", "XML", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"e:\Projects\icarus\assets\maps\fracture_map_defense.svg", "XML", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"e:\Projects\icarus\assets\maps\fracture_spawn_walls.svg", "XML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"e:\Projects\icarus\assets\maps\fracture_ult_orbs.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
