Date : 2026-03-20 03:03:11
Directory : e:\Projects\icarus
Total : 347 files,  37981 codes, 2032 comments, 4665 blanks, all 44678 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Dart               |        184 |     30,383 |      1,347 |      3,730 |     35,460 |
| XML                |         87 |      2,858 |         53 |         89 |      3,000 |
| TypeScript         |         20 |      1,926 |        173 |        268 |      2,367 |
| C++                |         16 |        705 |        132 |        209 |      1,046 |
| Markdown           |         10 |        640 |          0 |        218 |        858 |
| YAML               |          4 |        600 |         31 |         15 |        646 |
| JSON               |          8 |        405 |          0 |          6 |        411 |
| PowerShell         |          1 |        133 |         31 |         30 |        194 |
| JSON with Comments |          3 |        128 |        151 |         43 |        322 |
| Groovy             |          3 |         81 |          6 |         17 |        104 |
| Swift              |          6 |         75 |          7 |         21 |        103 |
| JavaScript         |          2 |         20 |         86 |         12 |        118 |
| HTML               |          1 |         19 |         15 |          5 |         39 |
| Properties         |          2 |          8 |          0 |          2 |         10 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                            | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                               |        347 |     37,981 |      2,032 |      4,665 |     44,678 |
| . (Files)                                                                                       |         12 |        681 |         37 |        208 |        926 |
| .cursor                                                                                         |          3 |        127 |          0 |         42 |        169 |
| .cursor\rules                                                                                   |          2 |         97 |          0 |         29 |        126 |
| .cursor\skills                                                                                  |          1 |         30 |          0 |         13 |         43 |
| .cursor\skills\frontend-design                                                                  |          1 |         30 |          0 |         13 |         43 |
| .zed                                                                                            |          2 |         60 |        147 |          5 |        212 |
| android                                                                                         |         12 |        155 |         57 |         28 |        240 |
| android (Files)                                                                                 |          3 |         40 |          0 |          9 |         49 |
| android\app                                                                                     |          8 |        110 |         57 |         18 |        185 |
| android\app (Files)                                                                             |          1 |         44 |          6 |          9 |         59 |
| android\app\src                                                                                 |          7 |         66 |         51 |          9 |        126 |
| android\app\src\debug                                                                           |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                            |          5 |         60 |         43 |          7 |        110 |
| android\app\src\main (Files)                                                                    |          1 |         34 |         11 |          1 |         46 |
| android\app\src\main\res                                                                        |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                               |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                           |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                 |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                           |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                         |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                  |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                          |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                          |         78 |      2,510 |          0 |         77 |      2,587 |
| assets (Files)                                                                                  |          2 |         10 |          0 |          2 |         12 |
| assets\fonts                                                                                    |          1 |        122 |          0 |          0 |        122 |
| assets\maps                                                                                     |         75 |      2,378 |          0 |         75 |      2,453 |
| convex                                                                                          |         21 |      1,945 |        259 |        280 |      2,484 |
| convex (Files)                                                                                  |         12 |      1,672 |          3 |        202 |      1,877 |
| convex\_generated                                                                               |          5 |        104 |        256 |         39 |        399 |
| convex\lib                                                                                      |          4 |        169 |          0 |         39 |        208 |
| docs                                                                                            |          2 |         36 |          0 |         10 |         46 |
| ios                                                                                             |          8 |        229 |          4 |         13 |        246 |
| ios\Runner                                                                                      |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                              |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                 |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                      |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                   |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                 |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                           |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                             |        179 |     30,154 |      1,337 |      3,618 |     35,109 |
| lib (Files)                                                                                     |          5 |        995 |         27 |         88 |      1,110 |
| lib\collab                                                                                      |          3 |        585 |          0 |         73 |        658 |
| lib\const                                                                                       |         28 |      3,958 |        152 |        630 |      4,740 |
| lib\hive                                                                                        |          4 |      1,947 |         11 |        147 |      2,105 |
| lib\migrations                                                                                  |          1 |        269 |          1 |         39 |        309 |
| lib\providers                                                                                   |         37 |      7,074 |        235 |      1,239 |      8,548 |
| lib\providers (Files)                                                                           |         31 |      6,236 |        233 |      1,112 |      7,581 |
| lib\providers\collab                                                                            |          6 |        838 |          2 |        127 |        967 |
